Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
43,UHF S17,434.525000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UHF Simplex 434.525,,,,
44,UHF S18,434.550000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UHF Simplex 434.550,,,,
45,UHF S19,434.575000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UHF Simplex 434.575,,,,
46,DMR S1,145.387500,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex VHF (S1),,,,
47,DMR S2,433.775000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex UHF (S1),,,,
48,DMR S3,145.400000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex VHF (S2),,,,
49,DMR S4,438.025000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex UHF (S2),,,,
50,DMR S5,145.412500,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex VHF (S3),,,,
51,DMR S6,438.037500,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DMR Simplex UHF (S3),,,,
52,PMR-1,446.006250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
53,PMR-2,446.018750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
54,PMR-3,446.031250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
55,PMR-4,446.043750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
56,PMR-5,446.056250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
57,PMR-6,446.068750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
58,PMR-7,446.081250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
59,PMR-8,446.093750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
60,PMR-9,446.106250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
61,PMR-10,446.118750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
62,PMR-11,446.131250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
63,PMR-12,446.143750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
64,PMR-13,446.156250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
65,PMR-14,446.168750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
66,PMR-15,446.181250,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
67,PMR-16,446.193750,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
68,BOMBERO,461.500000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Bomberos Málaga CH1,,,,
69,PROTECC,169.875000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
70,INFOCA,164.987500,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,INFOCA Andalucía,,,,
71,INFOCA,165.300000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,INFOCA Málaga,,,,
72,PCIVIL,169.875000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Protección Civil Málaga,,,,
73,REMER,146.500000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Canal Llamada REMER,,,,
74,PCIVIL,169.875000,,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Proteccion Civil Malaga,,,,
75,R-4 ZUJ,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Repetidor R-4 Zujar (Granada),,,,
76,RU-70ML,438.650000,-,7.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Repetidor RU-70 Sierra de Mijas (Málaga),,,,
77,RU-92 P,439.200000,-,7.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Repetidor RU-92 La Pandera (Jaén),,,,
